Date,Hour,Horse,Jockey,Position,Distance,Cuidador,Caballeriza,HorseNumber,PistaCondition,BornDate,Sex,Pelaje,Father,Mother,Grandfather,Breeder,HorseWeight,JockeyWeight
06/01/2024,15:00,MARINA BAY,VALLE MARTIN J,1,1400,MARTIN FERRO ENRIQUE,SANTA INES,1,ARENA | NORMAL,14-08-2019,HEMBRA,ZAINO,FORTIFY (USA),MARSIGLIESE,MUTAKDDIM (USA),SANTA INES,434,57
06/01/2024,15:00,PURE EMOTION,LA PALMA MARTIN A,2,1400,RIVOLLIER MICHAEL GIAN FRANCO,SEGUNDO AYRE (LP),3,ARENA | NORMAL,09-08-2019,HEMBRA,ZAINO DORADILLO,MOST IMPROVED (IRE),PURA VERDADE,PURE PRIZE (USA),DONOVAN CORNELIO GUILLERMO Y SOLVEYRA MA,512,57
06/01/2024,15:00,PRESERVADA,REYNOSO GUILLERMO S,3,1400,GODOY HECTOR RUBEN,ZORAIDA (Rº),5,ARENA | NORMAL,26-09-2019,HEMBRA,ZAINO,MANIPULATOR (USA),PRESCIENCIA,PURE PRIZE (USA),CARAMPANGUE,447,54.4
06/01/2024,15:00,KUMERA,BANEGAS KEVIN,4,1400,RIVOLLIER MICHAEL GIAN FRANCO,QUEREUQUEN (LP),4,ARENA | NORMAL,06-10-2019,HEMBRA,ZAINO,PORTAL DEL ALTO,KUCHMA,SOUTHERN HALO (USA),EL WING,448,57
06/01/2024,15:00,QUE PERPLEJA,ARIAS DANIEL E,5,1400,VELIZ GUSTAVO RAUL,RAUL Y LIDIA (SR),2,ARENA | NORMAL,04-09-2019,HEMBRA,ZAINO,GRAND REWARD (USA),SCARLET RUNNER,SEBI HALO,PORTELA MANUEL ENRIQUE,490,57.7
06/01/2024,15:00,MAS VIGENTE,MONASTEROLO IVAN E,6,1400,SUASNABAR DAMIAN R,SAN DONATO (AZ),6,ARENA | NORMAL,08-09-2019,HEMBRA,ZAINO,FULL MAST (USA),VILIGENT (USA),WOODMAN (USA),DE LA POMME,446,57
06/01/2024,15:30,VALE TOCAR,PERALTA JORGE LUIS,1,1200,SARNO GONZALO A,LOS GALANES (LP),8,ARENA | NORMAL,29-09-2018,HEMBRA,ZAINO,SANTILLANO,VALENTINA RIDE,CANDY RIDE,LA PASION,499,57
06/01/2024,15:30,EAST PRUSSIA,REYNOSO GUILLERMO S,2,1200,MONDAZZI EDGARDO A,PUEY (LP),7,ARENA | NORMAL,02-11-2018,HEMBRA,ZAINO,IL CAMPIONE (CHI),IRROBLA,INTERPRETE,EL PARAISO,438,54
06/01/2024,15:30,SIMONA BAMB,GIANNETTI ADRIAN M,3,1200,SCARPELLO GUSTAVO E,DON YAYO,2,ARENA | NORMAL,28-08-2018,HEMBRA,ZAINO NEGRO,VALID STRIPES,BAMB NISTEL,VAN NISTELROOY (USA),COSTA NINA Y GONZALEZ LONZIEME DIEGO,496,57
06/01/2024,15:30,LA GRAND PLAY,PAOLONI JUAN P,4,1200,IONADI JOSE A,LA VAGANCIA (AZ),10,ARENA | NORMAL,05-10-2018,HEMBRA,ZAINO,GRAND REWARD (USA),LA PLAY,MUTAKDDIM (USA),TEFI,470,57.1
